"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.css", "CSS", 0, 46, 0, 0, 7, 53
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.html", "HTML", 0, 0, 15, 0, 1, 16
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.ts", "TypeScript", 27, 0, 0, 0, 5, 32
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.css", "CSS", 0, 90, 0, 0, 14, 104
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.html", "HTML", 0, 0, 19, 4, 2, 25
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.ts", "TypeScript", 20, 0, 0, 0, 4, 24
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.css", "CSS", 0, 96, 0, 0, 4, 100
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.html", "HTML", 0, 0, 4, 0, 0, 4
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.css", "CSS", 0, 51, 0, 0, 8, 59
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.html", "HTML", 0, 0, 37, 0, 3, 40
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.ts", "TypeScript", 55, 0, 0, 0, 11, 66
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.css", "CSS", 0, 103, 0, 1, 16, 120
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.html", "HTML", 0, 0, 19, 0, 1, 20
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.ts", "TypeScript", 28, 0, 0, 0, 5, 33
"Total", "-", 228, 386, 94, 5, 114, 827